ID,Name,Power,Killpoints,Deads,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,Total Kills,T45 Kills,Ranged,Rss Gathered,Rss Assistance,Helps,Alliance
212527176,ᴵᴹAshborn,86913523,46771121,463171,1376036,3671315,3581436,2326504,78125,11033416,2404629,0,1308591664,1679271507,45002,[~IM~]Imperium51
212538024,ᴵᴹDavyJones,71356512,77500075,88499,993987,10828194,736505,4329737,470075,17358498,4799812,0,1392239627,339609051,27141,[~IM~]Imperium51
